,timestamp_update,skill_mae,mae_pers,mae_lstm,skill_mape,mape_pers,mape_lstm,mase
0,2019-12-03,-4.686,42.12,239.51,1.0,inf,1.0,5.686
1,2019-12-04,-3.898,49.469,242.298,1.0,inf,1.0,4.898
2,2019-12-05,-3.819,50.279,242.298,1.0,inf,1.0,4.819
3,2019-12-09,-7.229,29.446,242.298,1.0,inf,1.0,8.229
4,2019-12-10,-4.655,42.848,242.298,1.0,inf,1.0,5.655
5,2019-12-12,-3.865,43.121,209.794,1.0,inf,1.0,4.865
6,2019-12-13,-5.423,35.861,230.344,1.0,inf,1.0,6.423
7,2019-12-16,-5.955,39.871,277.291,1.0,inf,1.0,6.955
8,2019-12-17,-5.955,39.871,277.291,1.0,inf,1.0,6.955
9,2019-12-18,-8.825,24.654,242.221,1.0,inf,1.0,9.825
10,2019-12-19,-3.874,50.996,248.532,1.0,inf,1.0,4.874
11,2019-12-20,0.638,169.174,61.17,1.0,inf,1.0,0.362
12,2019-12-23,-4.185,47.935,248.532,1.0,inf,1.0,5.185
13,2019-12-24,-4.185,47.935,248.532,1.0,inf,1.0,5.185
14,2019-12-25,-2.913,63.511,248.532,1.0,inf,1.0,3.913
15,2019-12-27,-0.652,91.709,151.511,1.0,inf,1.0,1.652
16,2019-12-30,-2.456,70.784,244.634,1.0,inf,1.0,3.456
17,2019-12-31,-0.289,109.285,140.859,1.0,inf,1.0,1.289
18,2020-01-01,-0.289,109.285,140.859,1.0,inf,1.0,1.289
19,2020-01-02,-1.36,78.932,186.241,1.0,inf,1.0,2.36
20,2020-01-06,-4.073,50.25,254.911,1.0,inf,1.0,5.073
21,2020-01-07,-1.485,92.326,229.438,-0.568,0.638,1.0,2.485
22,2020-01-08,-1.437,98.054,238.913,-0.63,0.613,1.0,2.437
23,2020-01-09,-2.877,63.051,244.426,-1.122,0.471,1.0,3.877
24,2020-01-10,-2.052,72.922,222.569,-0.79,0.559,1.0,3.052
25,2020-01-13,-5.024,41.083,247.474,1.0,inf,1.0,6.024
26,2020-01-14,-4.732,37.655,215.835,1.0,inf,1.0,5.732
27,2020-01-15,-7.649,29.264,253.094,1.0,inf,1.0,8.649
