,model,mean_skill
152,u256-256_d0_in96_flen4,0.277
27,u24-256_d0.1_in288_flen4,0.259
31,u96-24_d0_in96_flen4,0.25
148,u48-48_d0_in192_flen4,0.238
1,u48-256_d0_in96_flen4,0.235
82,u8-8_d0_in96_flen4,0.23
187,u96-48_d0_in96_flen4,0.226
184,u24-0_d0_in96_flen2,0.212
131,u4-128_d0_in96_flen4,0.211
75,u12-0_d0_in192_flen4,0.21
120,u96-128_d0_in96_flen4,0.207
163,u12-12_d0.1_in96_flen4,0.205
107,u4-128_d0_in192_flen4,0.197
101,u96-0_d0_in96_flen2,0.191
102,u24-8_d0.1_in192_flen4,0.18
46,u48-96_d0.1_in96_flen4,0.179
56,u96-8_d0_in96_flen4,0.172
185,u8-0_d0_in96_flen4,0.169
153,u12-48_d0_in192_flen2,0.16
90,u8-96_d0.1_in96_flen2,0.158
79,u128-4_d0_in192_flen4,0.158
186,u128-8_d0.1_in96_flen2,0.158
87,u24-12_d0.1_in288_flen2,0.157
138,u4-12_d0_in96_flen2,0.152
35,u8-12_d0_in192_flen4,0.152
173,u256-12_d0_in96_flen2,0.148
91,u4-256_d0.1_in96_flen2,0.144
168,u48-24_d0.1_in96_flen2,0.142
55,u256-12_d0.1_in96_flen4,0.142
50,u4-24_d0.1_in96_flen2,0.137
106,u96-96_d0.1_in96_flen4,0.135
126,u24-12_d0_in192_flen4,0.134
76,u128-8_d0_in96_flen4,0.132
37,u24-24_d0.1_in288_flen4,0.131
58,u256-12_d0.1_in192_flen4,0.13
122,u4-8_d0_in96_flen2,0.13
149,u256-12_d0.1_in96_flen2,0.13
179,u24-96_d0_in96_flen2,0.128
15,u48-48_d0_in96_flen2,0.125
34,u4-48_d0.1_in96_flen2,0.125
92,u8-0_d0.1_in96_flen4,0.124
121,u12-256_d0_in96_flen4,0.124
183,u48-0_d0_in288_flen2,0.123
28,u24-8_d0_in96_flen4,0.122
180,u12-0_d0.1_in96_flen2,0.121
63,u256-8_d0.1_in96_flen4,0.12
7,u8-12_d0.1_in192_flen4,0.115
39,u12-8_d0.1_in192_flen2,0.114
134,u256-12_d0.1_in288_flen4,0.108
110,u12-48_d0.1_in96_flen2,0.107
128,u12-0_d0_in96_flen2,0.104
29,u8-0_d0_in288_flen2,0.104
177,u12-128_d0_in96_flen2,0.103
42,u48-24_d0_in96_flen2,0.093
88,u4-128_d0_in96_flen2,0.092
115,u8-24_d0.1_in192_flen2,0.088
57,u4-0_d0_in192_flen2,0.073
52,u8-8_d0.1_in192_flen4,0.052
103,u4-24_d0.1_in192_flen4,0.046
129,u256-4_d0.1_in96_flen2,0.035
170,u256-48_d0_in48_flen4,0.028
98,u4-128_d0.1_in96_flen2,0.017
51,u12-4_d0.1_in96_flen2,0.003
182,u96-4_d0.1_in192_flen4,0.003
83,u48-12_d0.1_in48_flen4,-0.003
8,u128-12_d0_in48_flen4,-0.012
191,u128-256_d0.1_in48_flen4,-0.023
16,u128-8_d0.1_in48_flen4,-0.026
48,u96-24_d0.1_in48_flen4,-0.045
22,u96-48_d0.1_in48_flen4,-0.047
144,u96-4_d0_in96_flen2,-0.055
61,u48-128_d0.1_in48_flen4,-0.056
142,u96-128_d0.1_in48_flen4,-0.063
11,u256-0_d0.1_in48_flen4,-0.071
17,u24-24_d0_in48_flen4,-0.077
70,u12-128_d0.1_in48_flen4,-0.077
118,u4-128_d0.1_in48_flen4,-0.081
190,u12-24_d0_in48_flen4,-0.085
65,u128-48_d0_in48_flen4,-0.086
89,u24-96_d0_in48_flen4,-0.09
127,u256-48_d0_in48_flen2,-0.09
104,u24-4_d0.1_in288_flen2,-0.092
132,u128-4_d0_in48_flen4,-0.096
99,u12-12_d0_in48_flen2,-0.101
155,u24-48_d0_in48_flen2,-0.103
32,u4-256_d0_in48_flen2,-0.107
151,u128-256_d0_in48_flen2,-0.109
45,u128-48_d0.1_in48_flen2,-0.111
119,u4-48_d0.1_in48_flen4,-0.111
24,u96-4_d0.1_in288_flen2,-0.112
49,u24-8_d0.1_in48_flen2,-0.119
159,u24-256_d0.1_in48_flen4,-0.125
97,u4-8_d0.1_in192_flen2,-0.125
140,u8-24_d0_in48_flen4,-0.129
36,u4-48_d0.1_in48_flen2,-0.133
73,u96-128_d0.1_in48_flen2,-0.134
54,u256-12_d0.1_in288_flen2,-0.137
30,u8-4_d0_in96_flen2,-0.138
66,u128-48_d0_in48_flen2,-0.141
123,u12-48_d0.1_in48_flen2,-0.141
77,u48-12_d0_in48_flen4,-0.145
78,u256-0_d0.1_in48_flen2,-0.146
38,u4-24_d0_in48_flen4,-0.148
18,u12-0_d0_in288_flen4,-0.15
172,u256-256_d0_in48_flen4,-0.15
20,u8-24_d0_in288_flen4,-0.15
12,u128-24_d0_in48_flen2,-0.15
105,u4-128_d0.1_in48_flen2,-0.15
108,u256-4_d0.1_in192_flen2,-0.151
21,u4-96_d0.1_in48_flen2,-0.153
178,u128-12_d0_in48_flen2,-0.158
188,u12-0_d0.1_in48_flen2,-0.158
60,u24-4_d0_in96_flen2,-0.158
94,u96-0_d0_in48_flen2,-0.159
41,u128-8_d0_in48_flen2,-0.159
141,u8-4_d0.1_in192_flen2,-0.165
136,u8-128_d0.1_in48_flen2,-0.165
100,u12-0_d0.1_in288_flen2,-0.168
112,u96-0_d0.1_in48_flen2,-0.17
160,u48-12_d0.1_in288_flen4,-0.171
10,u128-96_d0_in48_flen2,-0.172
68,u96-0_d0.1_in48_flen4,-0.173
19,u48-24_d0_in48_flen4,-0.175
3,u128-4_d0_in48_flen2,-0.177
117,u256-96_d0_in48_flen2,-0.182
156,u4-24_d0_in48_flen2,-0.196
137,u128-0_d0_in48_flen2,-0.199
161,u8-48_d0.1_in48_flen2,-0.2
25,u4-96_d0_in48_flen2,-0.201
146,u4-8_d0.1_in48_flen2,-0.202
164,u48-12_d0.1_in48_flen2,-0.203
109,u48-4_d0.1_in48_flen2,-0.211
96,u24-12_d0_in48_flen2,-0.227
167,u8-0_d0.1_in48_flen2,-0.238
5,u96-8_d0_in48_flen2,-0.271
147,u8-12_d0.1_in48_flen2,-0.282
116,u96-4_d0.1_in48_flen4,-0.293
113,u12-4_d0_in288_flen4,-0.339
53,u24-4_d0.1_in96_flen4,-0.353
86,u4-12_d0.1_in192_flen2,-0.36
62,u4-4_d0.1_in48_flen2,-0.385
84,u8-8_d0_in192_flen4,-0.477
33,u4-0_d0.1_in48_flen2,-0.487
6,u96-4_d0.1_in192_flen2,-0.519
64,u4-0_d0_in48_flen4,-0.569
93,u4-0_d0_in288_flen2,-0.738
26,u8-12_d0_in288_flen2,-0.775
71,u8-48_d0.1_in288_flen2,-0.927
14,u12-8_d0_in288_flen2,-1.119
176,u8-24_d0_in192_flen4,-1.283
72,u8-12_d0_in288_flen4,-1.428
95,u12-128_d0_in288_flen2,-1.66
125,u256-4_d0.1_in96_flen4,-1.982
47,u12-4_d0_in192_flen2,-2.11
9,u128-0_d0.1_in288_flen2,-2.345
166,u24-48_d0.1_in192_flen2,-2.425
130,u48-96_d0_in192_flen2,-2.486
2,u48-4_d0.1_in192_flen2,-2.509
174,u24-24_d0_in192_flen4,-2.541
143,u24-256_d0.1_in192_flen4,-2.554
158,u8-24_d0.1_in288_flen4,-2.6
169,u12-24_d0.1_in288_flen2,-2.602
23,u12-24_d0_in288_flen2,-2.604
165,u8-48_d0_in192_flen4,-2.644
150,u12-128_d0_in192_flen4,-2.644
81,u12-4_d0.1_in96_flen4,-2.668
145,u96-256_d0_in96_flen2,-2.674
181,u96-128_d0.1_in288_flen4,-2.705
13,u96-48_d0.1_in192_flen4,-2.717
67,u96-48_d0.1_in288_flen2,-2.742
69,u4-48_d0_in96_flen2,-2.785
80,u128-128_d0.1_in96_flen4,-2.815
154,u12-4_d0_in192_flen4,-2.84
157,u256-48_d0.1_in96_flen2,-2.928
189,u12-128_d0_in96_flen4,-3.011
162,u24-48_d0_in192_flen4,-3.013
0,u128-0_d0.1_in96_flen2,-3.019
135,u8-24_d0_in192_flen2,-3.104
4,u256-256_d0.1_in96_flen2,-3.188
59,u256-256_d0_in48_flen2,-3.2
85,u24-256_d0_in96_flen4,-3.264
139,u8-128_d0_in96_flen2,-3.42
44,u48-0_d0.1_in192_flen4,-3.467
40,u24-0_d0_in288_flen4,-3.494
74,u12-256_d0_in96_flen2,-3.562
175,u12-24_d0.1_in192_flen2,-3.608
171,u4-24_d0_in192_flen2,-3.643
43,u48-96_d0_in96_flen2,-3.715
133,u24-4_d0_in192_flen2,-4.107
114,u24-4_d0_in288_flen2,-4.184
124,u48-12_d0_in192_flen4,-4.364
111,u96-24_d0_in192_flen2,-5.554
